NL
1.008
2.016
15.023
15.995
16.019
16.031
17.003
17.027
18.011
20.006
26.003
27.011
27.995
28.019
28.031
29.003
29.039
29.998
30.011
31.006
31.018
31.042
31.972
32.026
33.034
33.988
34.969
35.977
36.021
42.011
42.022
42.047
43.006
43.055
43.990
44.037
44.050
44.998
45.021
45.058
45.993
46.005
47.001
48.003
48.009
48.988
49.992
55.006
55.990
56.998
57.021
57.993
58.005
59.073
59.996
60.021
60.021
61.016
62.000
62.996
63.962
63.972
63.998
68.995
71.037
71.985
73.004
73.988
74.000
74.019
75.032
75.991
76.031
77.039
77.998
78.047
78.918
79.926
79.957
79.966
80.965
81.045
81.972
83.985
84.094
85.028
85.988
87.032
87.991
90.032
91.967
91.986
93.960
97.977
99.980
102.068
103.986
105.025
107.050
108.058
109.011
111.980
119.981
120.042
121.020
123.958
127.912
129.043
129.043
130.063
132.042
133.984
141.019
146.058
146.069
154.003
156.115
161.069
162.053
163.030
164.068
171.090
172.014
176.026
176.032
178.041
179.079
185.009
189.040
194.043
197.045
203.079
221.090
225.077
228.040
248.053
250.062
260.030
261.028
266.064
273.096
275.112
277.056
306.076
307.084
316.056
341.132
